,nombre,plataforma,fecha lanzamiento,puntuacion,puntuacion usuarios,desarrollador,genero,numero jugadores,numero criticas,numero usuarios
13665,Madden NFL 21,PlayStation4,2020-08-25,63,0.2,EASports,"Sports,Team,Football,Sim",Up to 6 ,29,5363
10570,Madden NFL 21,XboxOne,2020-08-25,69,0.4,EASports,"Sports,Team,Football,Sim",Up to 6 ,20,994
4964,Tom Clancy's The Division 2: Warlords of New York,PC,2020-03-03,79,0.5,MassiveEntertainment,"Action,Shooter,Third-Person,Tactical",No info,19,1498
14808,Warcraft III: Reforged,PC,2020-01-28,59,0.6,BlizzardEntertainment,"Strategy,Real-Time,General",Online Multiplayer,46,30532
11173,NBA 2K21,PlayStation4,2020-09-04,68,0.7,VisualConcepts,"Sports,Team,Basketball,Arcade",Up to 10 ,49,446
8803,FIFA 21,PlayStation4,2020-10-06,72,0.8,ElectronicArts,"Sports,Team,Soccer,Sim",Up to 22 ,57,1153
17364,FIFA 20: Legacy Edition,Switch,2019-09-27,43,0.9,ElectronicArts,"Sports,Team,Soccer,Sim",Up to 22 ,9,868
17222,WWE 2K20,XboxOne,2019-10-22,45,1.1,VisualConcepts,"Sports,Individual,Combat,Wrestling",Up to 6 ,20,117
5780,FIFA 21,XboxOne,2020-10-06,77,1.1,ElectronicArts,"Sports,Team,Soccer,Sim",Up to 22 ,18,229
10449,The Sims 4: Star Wars - Journey to Batuu,PC,2020-09-08,70,1.1,Maxis,"Simulation,Virtual,Virtual Life",No info,14,42
3126,Tom Clancy's The Division 2: Warlords of New York,XboxOne,2020-03-03,82,1.1,MassiveEntertainment,"Action,Shooter,Third-Person,Tactical",No info,9,172
8026,Tom Clancy's The Division 2: Warlords of New York,PlayStation4,2020-03-03,74,1.1,MassiveEntertainment,"Action,Shooter,Third-Person,Tactical",No info,13,442
15335,Call of Duty: Modern Warfare 3 - Defiance,DS,2011-11-08,57,1.2,n-Space,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info,9,257
4911,FIFA 20,PlayStation4,2019-09-24,79,1.2,ElectronicArts,"Sports,Team,Soccer,Sim",Up to 22 ,62,3420
17936,Ride to Hell: Retribution,Xbox360,2013-06-25,19,1.3,"Eutechnyx,DeepSilver","Driving,Action Adventure,Modern,Racing,General,Modern,Motorcycle,Motocross",No Online Multiplayer,14,435
16025,Metal Gear Survive,PC,2018-02-21,54,1.3,Konami,"Action Adventure,General,Survival",Up to 4 ,16,301
7161,FIFA 21,PC,2020-10-09,75,1.3,ElectronicArts,"Sports,Team,Soccer,Sim",Online Multiplayer,7,296
17935,Alone in the Dark: Illumination,PC,2015-06-11,19,1.3,PureFPS,"Horror,Action Adventure,Survival",No info,12,134
4736,FIFA 20,XboxOne,2019-09-24,79,1.3,ElectronicArts,"Sports,Team,Soccer,Sim",Up to 22 ,18,336
17929,Fast & Furious: Showdown,Xbox360,2013-05-21,22,1.3,"Activision,FirebrandGames","Driving,Racing,Arcade,GT / Street,GT / Street,Automobile",No info,9,132
17942,Ride to Hell: Retribution,PC,2013-06-24,16,1.3,"Eutechnyx,DeepSilver","Driving,Modern,Racing,Motorcycle,Motocross,Modern,Action Adventure,General",No info,9,581
5485,NBA 2K20,PlayStation4,2019-09-06,78,1.3,VisualConcepts,"Sports,Team,Basketball,Sim",Up to 10 ,42,1142
17856,Ghostbusters,PlayStation4,2016-07-12,30,1.4,"Activision,FireForgeGames","Action,Shooter,Shoot-'Em-Up,Top-Down",No info,22,264
14646,Metal Gear Survive,PlayStation4,2018-02-20,60,1.4,Konami,"Action Adventure,General,Survival",Up to 4 ,70,1045
4415,NBA 2K20,XboxOne,2019-09-06,80,1.4,VisualConcepts,"Sports,Team,Basketball,Sim",Up to 10 ,18,310
17425,Mindjack,Xbox360,2011-01-18,43,1.4,FeelPlus,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Modern,Arcade",No info,42,119
15359,Destiny 2: Curse of Osiris,XboxOne,2017-12-05,57,1.4,Bungie,"Action,Shooter,First-Person,Arcade",No info,9,87
12930,Star Wars Battlefront II,PC,2017-11-17,65,1.5,EADICE,"Action,Shooter,First-Person,Tactical",Up to 40 ,24,2988
12087,Star Wars Battlefront II,XboxOne,2017-11-17,66,1.5,EADICE,"Action,Shooter,First-Person,Tactical",Up to 40 ,34,1261
9297,Thrillville: Off the Rails,PSP,2007-10-09,72,1.5,FrontierDevelopments,"Strategy,General,General",2  Online,7,28
15331,Sacred 3,PC,2014-07-31,57,1.5,DeepSilver,"Action RPG,Role-Playing,Action RPG",No info,47,518
17734,Legends of Pegasus,PC,2012-08-10,36,1.5,"Kalypso,NovacoreStudios","Simulation,Strategy,Turn-Based,General,General,4X",No info,11,113
17424,WWE 2K20,PlayStation4,2019-10-22,43,1.5,VisualConcepts,"Sports,Individual,Combat,Wrestling",Up to 6 ,29,285
17036,Extinction,PlayStation4,2018-04-10,47,1.5,IronGalaxyStudios,"Action Adventure,General",No Online Multiplayer,37,83
17884,Dragon Ball: Evolution,PSP,2009-04-08,28,1.5,DimpsCorporation,"Action,General,General,Fighting,3D",No Online Multiplayer,16,69
17899,R.I.P.D. The Game,PC,2013-07-16,26,1.5,OldSchoolGames,"Action,General,General,Shooter,Third-Person,Sci-Fi,Arcade",No info,7,69
17874,Wild West Online,PC,2018-05-10,29,1.5,No info,"Role-Playing,Massively Multiplayer",Online Multiplayer,8,49
15418,Destiny 2: Curse of Osiris,PlayStation4,2017-12-05,57,1.5,Bungie,"Action,Shooter,First-Person,Arcade",No info,28,581
17843,Tony Hawk's Pro Skater 5,PlayStation4,2015-09-29,32,1.5,Robomodo,"Sports,Individual,Skate / Skateboard",Up to 20 ,43,444
17900,R.I.P.D. The Game,PC,2013-07-16,26,1.5,OldSchoolGames,"Action,General,General,Shooter,Third-Person,Sci-Fi,Arcade",No info,7,69
17938,Double Dragon II: Wander of the Dragons,Xbox360,2013-04-05,17,1.5,"GravityCorporation,Gravity","Action,Beat-'Em-Up,Beat-'Em-Up,2D",No info,19,58
5560,EA SPORTS UFC 4,PlayStation4,2020-08-14,78,1.5,ElectronicArts,"Sports,Individual,Combat,Boxing / Martial Arts",2 ,47,398
16395,Fimbul,PlayStation4,2019-02-28,52,1.5,Zaxis,"Action Adventure,General",No Online Multiplayer,9,6
11206,Star Wars Battlefront II,PlayStation4,2017-11-14,68,1.5,EADICE,"Action,Shooter,First-Person,Tactical",Up to 40 ,62,8525
17777,Rambo: The Video Game,PC,2014-02-21,34,1.6,Teyon,"Action,General",No Online Multiplayer,22,316
8246,Call of Duty: WWII - The War Machine,PlayStation4,2018-04-10,73,1.6,SledgehammerGames,"Action,Shooter,First-Person,Arcade",No info,8,23
1802,NBA 2K18,XboxOne,2017-09-15,85,1.6,2KGames,"Sports,Team,Basketball,Sim",Up to 10 ,16,178
11618,Giga Wrecker Alt.,PlayStation4,2019-04-12,67,1.6,GameFreak,"Action,Platformer,2D",No Online Multiplayer,11,5
17839,Pool Party,Wii,2007-09-05,32,1.6,"SouthPeakGames,Hyper-Devbox","Sports,Miscellaneous,Parlor,Individual,Billiards,Billiards",1-2 ,13,9
6520,Call of Duty: Infinite Warfare - Sabotage,PlayStation4,2017-01-31,76,1.6,InfinityWard,"Action,Shooter,First-Person,Tactical",No info,11,35
17862,Air Conflicts: Vietnam Ultimate Edition,PlayStation4,2014-09-16,30,1.7,"bitComposerEntertainmentAG,bitComposer","Action,Simulation,Flight,Combat",No info,10,28
16412,Extinction,XboxOne,2018-04-10,52,1.7,IronGalaxyStudios,"Action Adventure,General",No Online Multiplayer,18,27
14253,Destiny 2: Curse of Osiris,PC,2017-12-05,61,1.7,Bungie,"Action,Shooter,First-Person,Arcade",Up to 16 ,9,181
17881,Thundercats,DS,2012-10-30,28,1.7,Aspect,"Action,Platformer,Platformer,2D,2D",1 Player,11,27
17079,Cities XXL,PC,2015-02-05,47,1.7,FocusHomeInteractive,"Strategy,City Building,Management,Modern,Government",No info,20,230
17930,Drake of the 99 Dragons,Xbox,2003-11-03,22,1.7,IdolFX,"Action,Shooter,Third-Person,Fantasy",1 Player,16,41
17932,Infestation: Survivor Stories (The War Z),PC,2012-10-15,20,1.7,HammerpointInteractive,"Massively Multiplayer Online,Modern,Role-Playing,Massively Multiplayer",No info,13,3970
11506,NBA 2K21,XboxOne,2020-09-04,68,1.7,VisualConcepts,"Sports,Team,Basketball,Arcade",Up to 10 ,23,95
3861,NBA 2K18,PlayStation4,2017-09-15,80,1.7,VisualConcepts,"Arcade,Sports,Team,Basketball,Sim",Up to 10 ,54,720
17522,Clash of the Titans,PlayStation3,2010-07-27,41,1.7,GameRepublic,"Action Adventure,Historic,General,Historic",No Online Multiplayer,28,19
9792,Thrillville,Xbox,2006-11-21,71,1.7,FrontierDevelopments,"Strategy,General",1-4 ,16,29
17633,Attack of the Movies 3D,Xbox360,2010-05-18,38,1.7,PanicButton,"Action,General,General",No info,8,10
8408,NBA 2K20,Switch,2019-09-06,73,1.8,VisualConcepts,"Sports,Team,Basketball,Sim",Up to 10 ,11,111
17838,Kabuki Warriors,Xbox,2001-11-19,32,1.8,LightWeight,"Action,Fighting,2D",1 Player,15,11
17476,Tennis World Tour,XboxOne,2018-05-22,42,1.8,BigbenInteractive,"Sports,Individual,Tennis",2 ,8,28
17767,Fast & Furious Crossroads,PlayStation4,2020-08-07,35,1.8,SlightlyMadStudios,"Action Adventure,Linear,Racing,Arcade,Automobile",Up to 9 ,13,212
17928,Rambo: The Video Game,PlayStation3,2014-04-29,23,1.8,Teyon,"Action,General",No info,11,102
17917,NBA Unrivaled,PlayStation3,2009-11-12,24,1.8,A.C.R.O.N.Y.M.Games,"Sports,Traditional,Basketball,Arcade,Arcade",No info,7,20
17713,The History Channel: Battle for the Pacific,PlayStation3,2008-02-19,36,1.8,Activision,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",No info,7,16
16095,OVERPASS,PlayStation4,2020-03-17,54,1.9,ZordixRacing,"Racing,Simulation,Automobile",Up to 8 ,19,9
16086,Tom Clancy's Ghost Recon 2,GameCube,2005-03-15,54,1.9,UbisoftShanghai,"Action,Shooter,First-Person,Tactical,Modern",1 Player,10,13
17730,MTV's Celebrity Deathmatch,Xbox,2003-10-14,36,1.9,BigApeProductions,"Action,Fighting,3D",1-2 ,17,12
15395,The LEGO Movie 2 Videogame,PlayStation4,2019-02-26,57,1.9,TTGames,"Action Adventure,General",No Online Multiplayer,23,21
13494,Wallace & Gromit in Project Zoo,Xbox,2003-10-14,63,1.9,FrontierDevelopments,"Action,Platformer,3D",1 Player,9,21
4841,Madden NFL 20,XboxOne,2019-07-30,79,1.9,"ElectronicArts,EATiburon","Action,Sports,General,Team,Football,Sim",Up to 6 ,22,115
17631,Battleship,Xbox360,2012-05-15,38,1.9,DoubleHelixGames,"Action,Miscellaneous,Board Games,Shooter,Board Games,First-Person,Tactical",No Online Multiplayer,25,67
17940,Leisure Suit Larry: Box Office Bust,PlayStation3,2009-05-05,17,1.9,Team17,"Action Adventure,Adventure,Third-Person,Open-World,Modern,Modern",No Online Multiplayer,11,45
17877,The Quiet Man,PlayStation4,2018-11-01,28,1.9,"SquareEnix,HumanHeadStudios","Action Adventure,General,Linear",No Online Multiplayer,22,143
17329,Mindjack,PlayStation3,2011-01-18,44,1.9,FeelPlus,"Action,Shooter,Shooter,Third-Person,First-Person,Sci-Fi,Sci-Fi,Sci-Fi,Modern,Arcade",No info,31,54
17492,Arcania: Fall of Setarrif,PC,2011-10-24,41,1.9,Spellbound,"Role-Playing,PC-style RPG,General,Action RPG,PC-style RPG",No Online Multiplayer,10,74
4194,Madden NFL 19,PlayStation4,2018-08-10,80,2.0,EATiburon,"Sports,Team,Football,Sim",Up to 6 ,30,245
16832,Corpse of Discovery,PC,2015-08-25,49,2.0,"PhosphorGamesStudio,LLC,PhosphorGames","Adventure,3D,First-Person",No Online Multiplayer,9,5
16604,Extinction,PC,2018-04-09,51,2.0,IronGalaxyStudios,"Action Adventure,General",No Online Multiplayer,18,30
2543,FIFA 19,PlayStation4,2018-09-25,83,2.0,EASports,"Sports,Team,Soccer,Sim",Up to 22 ,67,1163
16946,The Dark Eye : Book of Heroes,PC,2020-06-09,48,2.0,RandomPotionOy,"Role-Playing,General",Online Multiplayer,7,5
17601,Charlie and the Chocolate Factory,Xbox,2005-07-11,39,2.0,"HighVoltageSoftware,BackboneEntertainment","Action Adventure,Modern",1 Player,20,12
11604,Battlefield: Play4Free,PC,2011-03-10,68,2.0,DigitalIllusions,"Action,Shooter,Shooter,First-Person,Modern,Arcade",No info,11,201
17795,Fast & Furious Crossroads,PC,2020-08-07,34,2.0,SlightlyMadStudios,"Action Adventure,Racing,Arcade,Linear,Automobile",Up to 9 ,10,50
17379,Super Dungeon Bros,PlayStation4,2016-11-01,43,2.0,ReactGames,"Action,General",Up to 4 ,10,12
10061,Call of Duty: Modern Warfare 3,Wii,2011-11-08,70,2.0,"Treyarch,SledgehammerGames","Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info,16,446
14405,Catan,Switch,2019-06-20,61,2.0,exozet,"Miscellaneous,Board / Card Game",Online Multiplayer,13,12
17375,Zathura,PlayStation2,2005-11-02,43,2.0,HighVoltageSoftware,"Action Adventure,Sci-Fi",1 Player,16,5
14004,Metal Gear Survive,XboxOne,2018-02-20,62,2.0,Konami,"Action Adventure,General,Survival",Up to 4 ,14,198
17332,Tony Hawk Ride,PlayStation3,2009-11-17,44,2.0,Robomodo,"Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard",No info,29,31
10471,Wallace & Gromit: Curse of the Were-Rabbit,Xbox,2005-09-29,70,2.0,FrontierDevelopments,"Action Adventure,Modern",1-2 ,20,25
17752,Terminator 3: Rise of the Machines,Xbox,2003-11-11,35,2.0,BlackOpsEntertainment,"Action Adventure,Sci-Fi",1 Player,24,10
17657,SoulCalibur: Lost Swords,PlayStation3,2014-04-22,38,2.0,BandaiNamcoGames,"Action,Fighting,3D",No info,9,89
17894,Road Rage,PlayStation4,2017-11-14,26,2.0,MaximumGames,"Simulation,Vehicle,Combat",Up to 4 ,14,26
17457,Gleamlight,Switch,2020-08-20,42,2.0,DICO,"Action,Platformer,2D",No Online Multiplayer,7,8
17943,Family Party: 30 Great Games Obstacle Arcade,WiiU,2012-12-04,11,2.0,"ArtCo.,Ltd.","Miscellaneous,Party,Party,Party / Minigame",No Online Multiplayer,8,151
17751,Bad Boys: Miami Takedown,GameCube,2004-09-14,35,2.0,BlitzGames,"Action,Shooter,Third-Person,Modern",1 Player,11,9
17186,Without Warning,Xbox,2005-11-01,45,2.0,CiRCLE,"Action,Shooter,Third-Person,Modern",1 Player,25,5
17933,Leisure Suit Larry: Box Office Bust,PC,2009-03-31,20,2.0,Team17,"Action Adventure,Adventure,Third-Person,Open-World,Modern,Modern",No Online Multiplayer,17,40
13264,Command & Conquer 4: Tiberian Twilight,PC,2010-03-16,64,2.1,EALA,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",No info,71,693
4076,Company of Heroes 2,PC,2013-06-25,80,2.1,Relic,"Strategy,Real-Time,Historic,General,Historic",No info,82,5795
17735,Power Gig: Rise of the SixString,Xbox360,2010-10-19,36,2.1,Seven45Studios,"Action,Miscellaneous,Rhythm,Music Maker,Music Maker,Music",No info,20,17
7411,Chime Sharp,XboxOne,2017-02-24,75,2.1,ChilledMouse,"Puzzle,General",No info,8,7
17697,Underworld Ascendant,PC,2018-11-15,37,2.1,OtherSideEntertainment,"Role-Playing,General",No Online Multiplayer,19,47
17411,RollerCoaster Tycoon World,PC,2016-11-16,43,2.1,NvizzioCreations,"Tycoon,Strategy,Management,Business / Tycoon",No Online Multiplayer,7,78
17740,Umbrella Corps,PC,2016-06-21,36,2.1,Capcom,"Action,Shooter,Third-Person,Tactical",Online Multiplayer,15,95
17820,Rekoil,PC,2014-01-28,32,2.1,PlasticPiranha,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info,11,45
16213,CSI: NY,PC,2008-11-18,53,2.1,LegacyInteractive,"Adventure,3D,First-Person,Modern,Modern",No info,9,14
17622,Tony Hawk's Pro Skater 5,XboxOne,2015-09-29,39,2.1,Robomodo,"Sports,Individual,Skate / Skateboard",Up to 20 ,18,133
17191,Star Trek The Video Game,PlayStation3,2013-04-23,45,2.1,DigitalExtremes,"Action Adventure,Sci-Fi,Sci-Fi,General",No info,27,123
16785,Crisis on the Planet of the Apes VR,PlayStation4,2018-04-03,49,2.1,Imaginati,"Action,Shooter,Light Gun",No Online Multiplayer,14,11
17923,Pulse Racer,Xbox,2003-01-02,24,2.2,JalecoEntertainment,"Driving,Racing,Futuristic",1-4 ,7,17
11094,Call of Duty: Ghosts,PC,2013-11-04,68,2.2,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",No info,14,3500
17621,Inkheart,DS,2009-01-12,39,2.2,Dreamcatcher,"Adventure,General,General",No info,8,5
14861,Darksiders III: Keepers of the Void,PlayStation4,2019-07-16,59,2.2,GunfireGames,"Action Adventure,Open-World",No info,11,13
17791,Bomberman: Act Zero,Xbox360,2006-08-29,34,2.2,Hudson,"Miscellaneous,Puzzle,Action,General,Puzzle,Action",Up to 8 ,41,46
15216,SimAnimals,Wii,2009-01-21,58,2.2,ElectronicArts,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",No info,13,37
13211,SimCity,PC,2013-03-05,64,2.2,Maxis,"Miscellaneous,Virtual Life,Strategy,City Building,Management,Modern,Modern,Government",No info,75,4539
16775,Spore Hero Arena,DS,2009-10-06,49,2.2,FullFat,"Action Adventure,Sci-Fi,Sci-Fi,General",No info,11,10
6808,Artifact,PC,2018-11-28,76,2.2,ValveSoftware,"Strategy,Turn-Based,Card Battle",Online Multiplayer,20,604
16749,The Sims 2: Apartment Pets,DS,2008-08-26,50,2.2,FullFat,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",1 Player,12,6
17934,Deal or No Deal,DS,2007-07-23,20,2.2,ArtefactsStudio,"Miscellaneous,Trivia / Game Show,Trivia / Game Show",1-2 ,13,44
16331,Super Dungeon Bros,XboxOne,2016-11-01,53,2.2,ReactGames,"Action,General",Up to 4 ,11,17
16818,Dragon Ball Z for Kinect,Xbox360,2012-10-09,49,2.2,"Spike,SpikeChunsoft","Action,Fighting,Fighting,3D,3D",1 Player,32,44
17878,Rambo: The Video Game,Xbox360,2014-02-21,28,2.3,Teyon,"Action,General",No info,12,146
