id,nombre,plataforma,marca,puntuacion usuarios,numero usuarios,popularidad
16640,Family Party: 30 Great Games Obstacle Arcade,WiiU,NINTENDO,2.0,151,poco conocido
16639,Ride to Hell: Retribution,PC,PC,1.3,581,popular
16635,Double Dragon II: Wander of the Dragons,Xbox360,MICROSOFT,1.5,58,desconocido
16636,Vroom in the Night Sky,Switch,NINTENDO,3.1,105,poco conocido
16638,Yaris,Xbox360,MICROSOFT,4.3,129,poco conocido
16637,Leisure Suit Larry: Box Office Bust,PlayStation3,SONY,1.9,45,desconocido
16634,SPOGS Racing,Wii,NINTENDO,3.7,22,desconocido
16633,Ride to Hell: Retribution,Xbox360,MICROSOFT,1.3,435,popular
16632,Alone in the Dark: Illumination,PC,PC,1.3,134,poco conocido
16630,Leisure Suit Larry: Box Office Bust,PC,PC,2.0,40,desconocido
16631,Deal or No Deal,DS,NINTENDO,2.2,44,desconocido
16629,Infestation: Survivor Stories (The War Z),PC,PC,1.7,3970,popular
16628,Afro Samurai 2: Revenge of Kuma Volume One,PlayStation4,SONY,2.8,59,desconocido
16626,Fast & Furious: Showdown,Xbox360,MICROSOFT,1.3,132,poco conocido
16627,Drake of the 99 Dragons,Xbox,MICROSOFT,1.7,41,desconocido
16623,Homie Rollerz,DS,NINTENDO,3.0,13,desconocido
16625,Rambo: The Video Game,PlayStation3,SONY,1.8,102,poco conocido
16622,FlatOut 3: Chaos & Destruction,PC,PC,3.1,296,conocido
16621,Fighter Within,XboxOne,MICROSOFT,2.8,210,conocido
16624,Charlie's Angels,GameCube,NINTENDO,4.4,35,desconocido
16619,Legends of Wrestling II,GameBoyAdvance,NINTENDO,3.6,9,desconocido
16618,Game Party Champions,WiiU,NINTENDO,3.4,24,desconocido
16616,Gravity Games Bike: Street Vert Dirt,PlayStation2,SONY,3.4,27,desconocido
16615,Terrawars: New York Invasion,PC,PC,2.4,10,desconocido
16614,NBA Unrivaled,PlayStation3,SONY,1.8,20,desconocido
