,puntuacion usuarios,marca
5491,9.8,SONY
9401,9.7,SONY
8612,9.7,SONY
16691,9.6,SONY
10763,9.2,SONY
75,9.2,SONY
17588,9.2,SONY
15265,9.2,SONY
48,9.2,SONY
74,9.2,SONY
11657,9.2,SONY
37,9.2,SONY
797,9.2,SONY
4815,9.2,SONY
12344,9.2,SONY
116,9.2,SONY
3448,9.1,SONY
3293,9.1,SONY
3976,9.1,SONY
3226,9.1,SONY
3182,9.1,SONY
13265,9.1,SONY
12829,9.1,SONY
4735,9.1,SONY
8582,9.1,SONY
5758,9.1,SONY
56,9.1,SONY
4339,9.1,SONY
4246,9.1,SONY
30,9.1,SONY
159,9.1,SONY
17909,9.1,SONY
49,9.1,SONY
695,9.1,SONY
406,9.0,SONY
141,9.0,SONY
167,9.0,SONY
4011,9.0,SONY
4052,9.0,SONY
4248,9.0,SONY
123,9.0,SONY
486,9.0,SONY
4739,9.0,SONY
4,9.0,SONY
286,9.0,SONY
4385,9.0,SONY
14327,9.0,SONY
3025,9.0,SONY
3001,9.0,SONY
78,9.0,SONY
5958,9.0,SONY
525,9.0,SONY
1966,9.0,SONY
12702,9.0,SONY
11982,9.0,SONY
4762,8.9,SONY
7558,8.9,SONY
323,8.9,SONY
305,8.9,SONY
317,8.9,SONY
5230,8.9,SONY
4858,8.9,SONY
5156,8.9,SONY
3806,8.9,SONY
4354,8.9,SONY
4096,8.9,SONY
1034,8.9,SONY
16773,8.9,SONY
1469,8.9,SONY
1611,8.9,SONY
1845,8.9,SONY
2071,8.9,SONY
2377,8.9,SONY
2480,8.9,SONY
2485,8.9,SONY
3084,8.9,SONY
16125,8.9,SONY
3173,8.9,SONY
3494,8.9,SONY
3512,8.9,SONY
7695,8.9,SONY
17531,8.9,SONY
15810,8.9,SONY
17764,8.9,SONY
4073,8.9,SONY
9874,8.9,SONY
8247,8.9,SONY
93,8.9,SONY
9568,8.9,SONY
17812,8.9,SONY
11184,8.9,SONY
11733,8.9,SONY
14008,8.9,SONY
7780,8.9,SONY
14060,8.9,SONY
9059,8.9,SONY
9430,8.9,SONY
115,8.9,SONY
12206,8.9,SONY
68,8.9,SONY
10323,8.9,SONY
2790,8.8,SONY
2879,8.8,SONY
2898,8.8,SONY
3054,8.8,SONY
3043,8.8,SONY
2969,8.8,SONY
2922,8.8,SONY
2992,8.8,SONY
3019,8.8,SONY
80,8.8,SONY
2929,8.8,SONY
3071,8.8,SONY
7715,8.8,SONY
3096,8.8,SONY
3072,8.8,SONY
2724,8.8,SONY
3705,8.8,SONY
3678,8.8,SONY
3554,8.8,SONY
3547,8.8,SONY
13153,8.8,SONY
3445,8.8,SONY
3422,8.8,SONY
3370,8.8,SONY
3362,8.8,SONY
3347,8.8,SONY
3342,8.8,SONY
3267,8.8,SONY
10952,8.8,SONY
10958,8.8,SONY
94,8.8,SONY
2759,8.8,SONY
645,8.8,SONY
2696,8.8,SONY
1373,8.8,SONY
1494,8.8,SONY
29,8.8,SONY
793,8.8,SONY
1447,8.8,SONY
27,8.8,SONY
1437,8.8,SONY
12388,8.8,SONY
1312,8.8,SONY
1625,8.8,SONY
1190,8.8,SONY
1096,8.8,SONY
1076,8.8,SONY
1055,8.8,SONY
1012,8.8,SONY
986,8.8,SONY
911,8.8,SONY
1562,8.8,SONY
1665,8.8,SONY
2652,8.8,SONY
2431,8.8,SONY
2625,8.8,SONY
117,8.8,SONY
2540,8.8,SONY
2520,8.8,SONY
67,8.8,SONY
2469,8.8,SONY
2452,8.8,SONY
2418,8.8,SONY
1690,8.8,SONY
2349,8.8,SONY
2212,8.8,SONY
59,8.8,SONY
1941,8.8,SONY
1913,8.8,SONY
47,8.8,SONY
1821,8.8,SONY
3797,8.8,SONY
891,8.8,SONY
3834,8.8,SONY
4068,8.8,SONY
9818,8.8,SONY
6767,8.8,SONY
4808,8.8,SONY
6720,8.8,SONY
14079,8.8,SONY
5505,8.8,SONY
4231,8.8,SONY
218,8.8,SONY
9479,8.8,SONY
4326,8.8,SONY
4333,8.8,SONY
8687,8.8,SONY
6400,8.8,SONY
4344,8.8,SONY
14822,8.8,SONY
5728,8.8,SONY
4540,8.8,SONY
8132,8.8,SONY
5992,8.8,SONY
242,8.8,SONY
4674,8.8,SONY
238,8.8,SONY
5803,8.8,SONY
4014,8.8,SONY
3932,8.8,SONY
5456,8.8,SONY
3836,8.8,SONY
3858,8.8,SONY
335,8.8,SONY
134,8.8,SONY
3865,8.8,SONY
3922,8.8,SONY
255,8.8,SONY
6841,8.8,SONY
4980,8.8,SONY
4876,8.8,SONY
119,8.8,SONY
6812,8.8,SONY
1779,8.7,SONY
2279,8.7,SONY
1743,8.7,SONY
2218,8.7,SONY
1676,8.7,SONY
